namespace,relation1,method,parameters,relation2,return_class
char,has_method,capitalize,(a),return_class,Ndarray
char,has_method,lower,(a),return_class,Ndarray
char,has_method,swapcase,(a),return_class,Ndarray
char,has_method,title,(a),return_class,Ndarray
char,has_method,upper,(a),return_class,Ndarray
char,has_method,isalpha,(a),return_class,Ndarray
char,has_method,isalnum,(a),return_class,Ndarray
char,has_method,isdecimal,(a),return_class,Ndarray
char,has_method,isdigit,(a),return_class,Ndarray
char,has_method,islower,(a),return_class,Ndarray
char,has_method,isnumeric,(a),return_class,Ndarray
char,has_method,isspace,(a),return_class,Ndarray
char,has_method,istitle,(a),return_class,Ndarray
char,has_method,isupper,(a),return_class,Ndarray
char,has_method,str_len,(a),return_class,Ndarray
char,has_method,lstrip,"(a, chars=None)",return_class,Ndarray
char,has_method,rstrip,"(a, chars=None)",return_class,Ndarray
char,has_method,strip,"(a, chars=None)",return_class,Ndarray
char,has_method,decode,"(a, encoding=None, errors=None)",return_class,Ndarray
char,has_method,encode,"(a, encoding=None, errors=None)",return_class,Ndarray
char,has_method,multiply,"(a, i)",return_class,Ndarray
char,has_method,splitlines,"(a, keepends=None)",return_class,Ndarray
char,has_method,replace,"(a, old, new, count=None)",return_class,Ndarray
char,has_method,startswith,"(a, prefix, start=0, end=None)",return_class,Ndarray
char,has_method,partition,"(a, sep)",return_class,Ndarray
char,has_method,rpartition,"(a, sep)",return_class,Ndarray
char,has_method,rsplit,"(a, sep=None, maxsplit=None)",return_class,Ndarray
char,has_method,split,"(a, sep=None, maxsplit=None)",return_class,Ndarray
char,has_method,count,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,find,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,index,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,rfind,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,rindex,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,endswith,"(a, suffix, start=0, end=None)",return_class,Ndarray
char,has_method,translate,"(a, table, deletechars=None)",return_class,Ndarray
char,has_method,expandtabs,"(a, tabsize=8)",return_class,Ndarray
char,has_method,mod,"(a, values)",return_class,Ndarray
char,has_method,zfill,"(a, width)",return_class,Ndarray
char,has_method,center,"(a, width, fillchar=' ')",return_class,Ndarray
char,has_method,ljust,"(a, width, fillchar=' ')",return_class,Ndarray
char,has_method,rjust,"(a, width, fillchar=' ')",return_class,Ndarray
char,has_method,compare_chararrays,"(a1, a2, cmp, rstrip)",return_class,Ndarray
char,has_method,array,"(obj, itemsize=None, copy=True, unicode=None, order=None)",return_class,None
char,has_method,asarray,"(obj, itemsize=None, unicode=None, order=None)",return_class,None
char,has_method,join,"(sep, seq)",return_class,Ndarray
char,has_method,add,"(x1, x2)",return_class,Ndarray
char,has_method,equal,"(x1, x2)",return_class,Ndarray
char,has_method,not_equal,"(x1, x2)",return_class,Ndarray
char,has_method,greater_equal,"(x1, x2)",return_class,Ndarray
char,has_method,less_equal,"(x1, x2)",return_class,Ndarray
char,has_method,greater,"(x1, x2)",return_class,Ndarray
char,has_method,less,"(x1, x2)",return_class,Ndarray
defchararray,has_method,array,"(obj, itemsize=None, copy=True, unicode=None, order=None)",return_class,None
defchararray,has_method,asarray,"(obj, itemsize=None, unicode=None, order=None)",return_class,None
records,has_method,fromarrays,"(arrayList, dtype=None, shape=None, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
records,has_method,fromstring,"(datastring, dtype=None, shape=None, offset=0, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
records,has_method,fromfile,"(fd, dtype=None, shape=None, offset=0, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
records,has_method,array,"(obj, dtype=None, shape=None, offset=0, strides=None, formats=None, names=None, titles=None, aligned=False, byteorder=None, copy=True)",return_class,None
records,has_method,fromrecords,"(recList, dtype=None, shape=None, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
emath,has_method,logn,"(n, x)",return_class,Ndarray
emath,has_method,sqrt,(x),return_class,Ndarray
emath,has_method,log,(x),return_class,Ndarray
emath,has_method,log2,(x),return_class,Ndarray
emath,has_method,log10,(x),return_class,Ndarray
emath,has_method,arccos,(x),return_class,Ndarray
emath,has_method,arcsin,(x),return_class,Ndarray
emath,has_method,arctanh,(x),return_class,Ndarray
emath,has_method,power,"(x, p)",return_class,Ndarray
exceptions,has_method,AxisError,"(axis, ndim=None, msg_prefix=None)",return_class,None
fft,has_method,fft,"(a, n=None, axis=-1, norm=None)",return_class,Ndarray
fft,has_method,ifft,"(a, n=None, axis=-1, norm=None)",return_class,Ndarray
fft,has_method,rfft,"(a, n=None, axis=-1, norm=None)",return_class,Ndarray
fft,has_method,irfft,"(a, n=None, axis=-1, norm=None)",return_class,Ndarray
fft,has_method,hfft,"(a, n=None, axis=-1, norm=None)",return_class,Ndarray
fft,has_method,ihfft,"(a, n=None, axis=-1, norm=None)",return_class,Ndarray
fft,has_method,fft2,"(a, s=None, axes=(-2, -1), norm=None)",return_class,Ndarray
fft,has_method,ifft2,"(a, s=None, axes=(-2, -1), norm=None)",return_class,Ndarray
fft,has_method,rfft2,"(a, s=None, axes=(-2, -1), norm=None)",return_class,Ndarray
fft,has_method,irfft2,"(a, s=None, axes=(-2, -1), norm=None)",return_class,Ndarray
fft,has_method,fftn,"(a, s=None, axes=None, norm=None)",return_class,Ndarray
fft,has_method,ifftn,"(a, s=None, axes=None, norm=None)",return_class,Ndarray
fft,has_method,rfftn,"(a, s=None, axes=None, norm=None)",return_class,Ndarray
fft,has_method,irfftn,"(a, s=None, axes=None, norm=None)",return_class,Ndarray
fft,has_method,fftfreq,"(n, d=1.0)",return_class,Ndarray
fft,has_method,rfftfreq,"(n, d=1.0)",return_class,Ndarray
fft,has_method,fftshift,"(x, axes=None)",return_class,Ndarray
fft,has_method,ifftshift,"(x, axes=None)",return_class,Ndarray
lib,has_method,NumpyVersion,(vstring),return_class,None
linalg,has_method,cholesky,(a),return_class,Ndarray
linalg,has_method,eig,(a),return_class,Ndarray
linalg,has_method,eigvals,(a),return_class,Ndarray
linalg,has_method,det,(a),return_class,Ndarray
linalg,has_method,slogdet,(a),return_class,Ndarray
linalg,has_method,inv,(a),return_class,Ndarray
linalg,has_method,solve,"(a, b)",return_class,Ndarray
linalg,has_method,tensorsolve,"(a, b, axes=None)",return_class,Ndarray
linalg,has_method,lstsq,"(a, b, rcond='warn')",return_class,Ndarray
linalg,has_method,svd,"(a, full_matrices=True, compute_uv=True, hermitian=False)",return_class,Ndarray
linalg,has_method,tensorinv,"(a, ind=2)",return_class,Ndarray
linalg,has_method,qr,"(a, mode='reduced')",return_class,Ndarray
linalg,has_method,matrix_power,"(a, n)",return_class,Ndarray
linalg,has_method,pinv,"(a, rcond=1e-15, hermitian=False)",return_class,Ndarray
linalg,has_method,matrix_rank,"(A, tol=None, hermitian=False)",return_class,Ndarray
linalg,has_method,eigh,"(a, UPLO='L')",return_class,Ndarray
linalg,has_method,eigvalsh,"(a, UPLO='L')",return_class,Ndarray
linalg,has_method,multi_dot,"(arrays, *, out=None)",return_class,Ndarray
linalg,has_method,norm,"(x, ord=None, axis=None, keepdims=False)",return_class,Ndarray
ma,has_method,arange,"([start, ]stop, [step, ]dtype=None, *, like=None)",return_class,None
ma,has_method,getmask,(a),return_class,None
ma,has_method,getmask,(a),return_class,None
ma,has_method,flatnotmasked_contiguous,(a),return_class,None
ma,has_method,flatnotmasked_edges,(a),return_class,Ndarray
ma,has_method,clump_masked,(a),return_class,List
ma,has_method,clump_unmasked,(a),return_class,List
ma,has_method,compress_cols,(a),return_class,None
ma,has_method,compress_rows,(a),return_class,None
ma,has_method,diff,"(a, /, n=1, axis=-1, prepend=<no value>, append=<no value>)",return_class,Maskedarray
ma,has_method,transpose,"(a, axes=None)",return_class,None
ma,has_method,transpose,"(a, axes=None)",return_class,None
ma,has_method,expand_dims,"(a, axis)",return_class,Ndarray
ma,has_method,mask_cols,"(a, axis=<no value>)",return_class,None
ma,has_method,mask_rows,"(a, axis=<no value>)",return_class,None
ma,has_method,argsort,"(a, axis=<no value>, kind=None, order=None, endwith=True, fill_value=None)",return_class,Ndarray
ma,has_method,sort,"(a, axis=-1, kind=None, order=None, endwith=True, fill_value=None)",return_class,None
ma,has_method,notmasked_contiguous,"(a, axis=None)",return_class,None
ma,has_method,notmasked_edges,"(a, axis=None)",return_class,List
ma,has_method,mask_rowcols,"(a, axis=None)",return_class,Maskedarray
ma,has_method,median,"(a, axis=None, out=None, overwrite_input=False, keepdims=False)",return_class,Ndarray
ma,has_method,average,"(a, axis=None, weights=None, returned=False, *, keepdims=<no value>)",return_class,Maskedarray
ma,has_method,common_fill_value,"(a, b)",return_class,Scalar Or None
ma,has_method,outer,"(a, b)",return_class,Ndarray
ma,has_method,outerproduct,"(a, b)",return_class,Ndarray
ma,has_method,inner,"(a, b, /)",return_class,Ndarray
ma,has_method,innerproduct,"(a, b, /)",return_class,Ndarray
ma,has_method,append,"(a, b, axis=None)",return_class,Maskedarray
ma,has_method,allequal,"(a, b, fill_value=True)",return_class,Bool
ma,has_method,allclose,"(a, b, masked_equal=True, rtol=1e-05, atol=1e-08)",return_class,Bool
ma,has_method,dot,"(a, b, strict=False, out=None)",return_class,None
ma,has_method,power,"(a, b, third=None)",return_class,None
ma,has_method,ndenumerate,"(a, compressed=True)",return_class,None
ma,has_method,masked_invalid,"(a, copy=True)",return_class,None
ma,has_method,round,"(a, decimals=0, out=None)",return_class,None
ma,has_method,asanyarray,"(a, dtype=None)",return_class,Maskedarray
ma,has_method,asarray,"(a, dtype=None, order=None)",return_class,Maskedarray
ma,has_method,set_fill_value,"(a, fill_value)",return_class,None
ma,has_method,filled,"(a, fill_value=None)",return_class,Ndarray
ma,has_method,fix_invalid,"(a, mask=False, copy=True, fill_value=None)",return_class,Maskedarray
ma,has_method,reshape,"(a, new_shape, order='C')",return_class,None
ma,has_method,getdata,"(a, subok=True)",return_class,None
ma,has_method,union1d,"(ar1, ar2)",return_class,None
ma,has_method,intersect1d,"(ar1, ar2, assume_unique=False)",return_class,None
ma,has_method,setdiff1d,"(ar1, ar2, assume_unique=False)",return_class,None
ma,has_method,setxor1d,"(ar1, ar2, assume_unique=False)",return_class,None
ma,has_method,in1d,"(ar1, ar2, assume_unique=False, invert=False)",return_class,None
ma,has_method,unique,"(ar1, return_index=False, return_inverse=False)",return_class,None
ma,has_method,masked_all_like,(arr),return_class,Maskedarray
ma,has_method,getmaskarray,(arr),return_class,None
ma,has_method,getmaskarray,(arr),return_class,None
ma,has_method,count_masked,"(arr, axis=None)",return_class,Int
ma,has_method,ediff1d,"(arr, to_end=None, to_begin=None)",return_class,None
ma,has_method,concatenate,"(arrays, axis=0)",return_class,Maskedarray
ma,has_method,concatenate,"(arrays, axis=0)",return_class,Maskedarray
ma,has_method,frombuffer,"(buffer, dtype=float, count=-1, offset=0, *, like=None)",return_class,None
ma,has_method,masked_where,"(condition, a, copy=True)",return_class,Maskedarray
ma,has_method,where,"(condition, x=<no value>, y=<no value>)",return_class,Maskedarray
ma,has_method,array,"(data, dtype=None, copy=False, order=None, mask=False, fill_value=None, keep_mask=True, hard_mask=False, shrink=True, subok=True, ndmin=0)",return_class,None
ma,has_method,isin,"(element, test_elements, assume_unique=False, invert=False)",return_class,None
ma,has_method,apply_over_axes,"(func, a, axes)",return_class,Ndarray
ma,has_method,apply_along_axis,"(func1d, axis, arr, *args, **kwargs)",return_class,Ndarray
ma,has_method,fromfunction,"(function, shape, **dtype)",return_class,None
ma,has_method,choose,"(indices, choices, out=None, mode='raise')",return_class,Ndarray
ma,has_method,is_mask,(m),return_class,Bool
ma,has_method,make_mask,"(m, copy=False, shrink=True, dtype=<class 'bool_'>)",return_class,Ndarray
ma,has_method,mask_or,"(m1, m2, copy=False, shrink=True)",return_class,Output Mask
ma,has_method,mask_or,"(m1, m2, copy=False, shrink=True)",return_class,Output Mask
ma,has_method,identity,"(n, dtype=None)",return_class,Maskedarray
ma,has_method,make_mask_descr,(ndtype),return_class,Dtype
ma,has_method,make_mask_none,"(newshape, dtype=None)",return_class,Ndarray
ma,has_method,shape,(obj),return_class,Tuple
ma,has_method,shape,(obj),return_class,Tuple
ma,has_method,default_fill_value,(obj),return_class,Scalar
ma,has_method,maximum_fill_value,(obj),return_class,Scalar
ma,has_method,minimum_fill_value,(obj),return_class,Scalar
ma,has_method,size,"(obj, axis=None)",return_class,Int
ma,has_method,size,"(obj, axis=None)",return_class,Int
ma,has_method,max,"(obj, axis=None, out=None, fill_value=None, keepdims=<no value>)",return_class,Ndarray
ma,has_method,min,"(obj, axis=None, out=None, fill_value=None, keepdims=<no value>)",return_class,Ndarray
ma,has_method,ptp,"(obj, axis=None, out=None, fill_value=None, keepdims=<no value>)",return_class,Ndarray
ma,has_method,empty_like,"(prototype, dtype=None, order='K', subok=True, shape=None)",return_class,Maskedarray
ma,has_method,nonzero,(self),return_class,Tuple
ma,has_method,harden_mask,(self),return_class,None
ma,has_method,soften_mask,(self),return_class,None
ma,has_method,copy,"(self, *args, **params) a.copy(order='C')",return_class,None
ma,has_method,swapaxes,"(self, *args, **params) a.swapaxes(axis1, axis2)",return_class,None
ma,has_method,anom,"(self, axis=None, dtype=None)",return_class,None
ma,has_method,anomalies,"(self, axis=None, dtype=None)",return_class,None
ma,has_method,cumsum,"(self, axis=None, dtype=None, out=None)",return_class,None
ma,has_method,cumprod,"(self, axis=None, dtype=None, out=None)",return_class,None
ma,has_method,std,"(self, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)",return_class,None
ma,has_method,var,"(self, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)",return_class,Ndarray
ma,has_method,mean,"(self, axis=None, dtype=None, out=None, keepdims=<no value>)",return_class,None
ma,has_method,prod,"(self, axis=None, dtype=None, out=None, keepdims=<no value>)",return_class,None
ma,has_method,sum,"(self, axis=None, dtype=None, out=None, keepdims=<no value>)",return_class,None
ma,has_method,argmin,"(self, axis=None, fill_value=None, out=None)",return_class,None
ma,has_method,count,"(self, axis=None, keepdims=<no value>)",return_class,Ndarray
ma,has_method,all,"(self, axis=None, out=None, keepdims=<no value>)",return_class,None
ma,has_method,any,"(self, axis=None, out=None, keepdims=<no value>)",return_class,None
ma,has_method,trace,"(self, offset=0, axis1=0, axis2=1, dtype=None, out=None) a.trace(offset=0, axis1=0, axis2=1, dtype=None, out=None)",return_class,None
ma,has_method,ravel,"(self, order='C')",return_class,None
ma,has_method,masked_all,"(shape, dtype=<class 'float'>)",return_class,Maskedarray
ma,has_method,empty,"(shape, dtype=float, order='C', *, like=None)",return_class,Maskedarray
ma,has_method,zeros,"(shape, dtype=float, order='C', *, like=None)",return_class,Maskedarray
ma,has_method,ones,"(shape, dtype=None, order='C')",return_class,Maskedarray
ma,has_method,diag,"(v, k=0)",return_class,None
ma,has_method,is_masked,(x),return_class,Bool
ma,has_method,isMaskedArray,(x),return_class,Bool
ma,has_method,isMA,(x),return_class,Bool
ma,has_method,isarray,(x),return_class,Bool
ma,has_method,compressed,(x),return_class,None
ma,has_method,conjugate,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",return_class,Ndarray
ma,has_method,compress_rowcols,"(x, axis=None)",return_class,Ndarray
ma,has_method,vander,"(x, n=None)",return_class,Ndarray
ma,has_method,resize,"(x, new_shape)",return_class,None
ma,has_method,masked_inside,"(x, v1, v2, copy=True)",return_class,None
ma,has_method,masked_outside,"(x, v1, v2, copy=True)",return_class,None
ma,has_method,masked_equal,"(x, value, copy=True)",return_class,None
ma,has_method,masked_greater,"(x, value, copy=True)",return_class,None
ma,has_method,masked_greater_equal,"(x, value, copy=True)",return_class,None
ma,has_method,masked_less,"(x, value, copy=True)",return_class,None
ma,has_method,masked_less_equal,"(x, value, copy=True)",return_class,None
ma,has_method,masked_not_equal,"(x, value, copy=True)",return_class,None
ma,has_method,masked_object,"(x, value, copy=True, shrink=True)",return_class,Maskedarray
ma,has_method,masked_values,"(x, value, rtol=1e-05, atol=1e-08, copy=True, shrink=True)",return_class,Maskedarray
ma,has_method,polyfit,"(x, y, deg, rcond=None, full=False, w=None, cov=False)",return_class,None
ma,has_method,corrcoef,"(x, y=None, rowvar=True, bias=<no value>, allow_masked=True, ddof=<no value>)",return_class,None
ma,has_method,cov,"(x, y=None, rowvar=True, bias=False, allow_masked=True, ddof=None)",return_class,None
MaskedArray,has_method,nonzero,(),return_class,Tuple
MaskedArray,has_method,harden_mask,(),return_class,None
MaskedArray,has_method,soften_mask,(),return_class,None
MaskedArray,has_method,shrink_mask,(),return_class,None
MaskedArray,has_method,unshare_mask,(),return_class,None
MaskedArray,has_method,compressed,(),return_class,None
MaskedArray,has_method,torecords,(),return_class,Ndarray
MaskedArray,has_method,get_fill_value,(),return_class,None
MaskedArray,has_method,transpose,(*axes),return_class,Ndarray
MaskedArray,has_method,transpose,(*axes),return_class,Ndarray
MaskedArray,has_method,reshape,"(*s, **kwargs)",return_class,Ndarray
MaskedArray,has_method,argsort,"(axis=<no value>, kind=None, order=None, endwith=True, fill_value=None)",return_class,Ndarray
MaskedArray,has_method,sort,"(axis=-1, kind=None, order=None, endwith=True, fill_value=None)",return_class,Ndarray
MaskedArray,has_method,squeeze,(axis=None),return_class,None
MaskedArray,has_method,anom,"(axis=None, dtype=None)",return_class,None
MaskedArray,has_method,cumprod,"(axis=None, dtype=None, out=None)",return_class,None
MaskedArray,has_method,cumsum,"(axis=None, dtype=None, out=None)",return_class,None
MaskedArray,has_method,std,"(axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)",return_class,None
MaskedArray,has_method,var,"(axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, mean=<no value>)",return_class,Ndarray
MaskedArray,has_method,mean,"(axis=None, dtype=None, out=None, keepdims=<no value>)",return_class,None
MaskedArray,has_method,prod,"(axis=None, dtype=None, out=None, keepdims=<no value>)",return_class,None
MaskedArray,has_method,sum,"(axis=None, dtype=None, out=None, keepdims=<no value>)",return_class,None
MaskedArray,has_method,argmin,"(axis=None, fill_value=None, out=None, *, keepdims=<no value>)",return_class,None
MaskedArray,has_method,count,"(axis=None, keepdims=<no value>)",return_class,Ndarray
MaskedArray,has_method,max,"(axis=None, out=None, fill_value=None, keepdims=<no value>)",return_class,Ndarray
MaskedArray,has_method,min,"(axis=None, out=None, fill_value=None, keepdims=<no value>)",return_class,Ndarray
MaskedArray,has_method,ptp,"(axis=None, out=None, fill_value=None, keepdims=False)",return_class,Ndarray
MaskedArray,has_method,all,"(axis=None, out=None, keepdims=<no value>)",return_class,None
MaskedArray,has_method,any,"(axis=None, out=None, keepdims=<no value>)",return_class,None
MaskedArray,has_method,swapaxes,"(axis1, axis2)",return_class,None
MaskedArray,has_method,round,"(decimals=0, out=None)",return_class,None
MaskedArray,has_method,tofile,"(fid, sep='', format='%s')",return_class,None
MaskedArray,has_method,filled,(fill_value=None),return_class,Ndarray
MaskedArray,has_method,tolist,(fill_value=None),return_class,List
MaskedArray,has_method,tobytes,"(fill_value=None, order='C')",return_class,None
MaskedArray,has_method,clip,"(min=None, max=None, out=None, **kwargs)",return_class,None
MaskedArray,has_method,resize,"(newshape, refcheck=True, order=False)",return_class,None
MaskedArray,has_method,trace,"(offset=0, axis1=0, axis2=1, dtype=None, out=None)",return_class,None
MaskedArray,has_method,copy,(order='C'),return_class,None
MaskedArray,has_method,flatten,(order='C'),return_class,Ndarray
MaskedArray,has_method,ravel,(order='C'),return_class,None
MaskedArray,has_method,set_fill_value,(value=None),return_class,None
matlib,has_method,rand,(*args),return_class,Ndarray
matlib,has_method,randn,(*args),return_class,Matrix Of Floats
matlib,has_method,repmat,"(a, m, n)",return_class,Ndarray
matlib,has_method,identity,"(n, dtype=None)",return_class,Matrix
matlib,has_method,eye,"(n, M=None, k=0, dtype=<class 'float'>, order='C')",return_class,Matrix
matlib,has_method,empty,"(shape, dtype=None, order='C')",return_class,None
matlib,has_method,zeros,"(shape, dtype=None, order='C')",return_class,Matrix
matlib,has_method,ones,"(shape, dtype=None, order='C')",return_class,Matrix
numpy,has_method,concatenate,"((a1, a2, ...), axis=0, out=None, dtype=None, casting=""same_kind"")",return_class,Ndarray
numpy,has_method,geterr,(),return_class,None
numpy,has_method,getbufsize,(),return_class,None
numpy,has_method,geterrcall,(),return_class,None
numpy,has_method,get_include,(),return_class,None
numpy,has_method,show_runtime,(),return_class,None
numpy,has_method,get_printoptions,(),return_class,None
numpy,has_method,broadcast_shapes,(*args),return_class,None
numpy,has_method,deprecate,"(*args, **kwargs)",return_class,Function
numpy,has_method,printoptions,"(*args, **kwargs)",return_class,None
numpy,has_method,broadcast_arrays,"(*args, subok=False)",return_class,None
numpy,has_method,result_type,(*arrays_and_dtypes),return_class,Dtype
numpy,has_method,atleast_1d,(*arys),return_class,Ndarray
numpy,has_method,atleast_2d,(*arys),return_class,Ndarray
numpy,has_method,atleast_3d,(*arys),return_class,Ndarray
numpy,has_method,meshgrid,"(*xi, copy=True, sparse=False, indexing='xy')",return_class,List
numpy,has_method,arange,"([start, ]stop, [step, ]dtype=None, *, like=None)",return_class,None
numpy,has_method,shape,(a),return_class,Tuple
numpy,has_method,byte_bounds,(a),return_class,Tuple
numpy,has_method,sort_complex,(a),return_class,Ndarray
numpy,has_method,isfortran,(a),return_class,Bool
numpy,has_method,argwhere,(a),return_class,Ndarray
numpy,has_method,nonzero,(a),return_class,Tuple
numpy,has_method,flatnonzero,(a),return_class,Ndarray
numpy,has_method,min_scalar_type,"(a, /)",return_class,Dtype
numpy,has_method,packbits,"(a, /, axis=None, bitorder='big')",return_class,Ndarray
numpy,has_method,unpackbits,"(a, /, axis=None, count=None, bitorder='big')",return_class,Ndarray
numpy,has_method,clip,"(a, a_min, a_max, out=None, **kwargs)",return_class,Ndarray
numpy,has_method,transpose,"(a, axes=None)",return_class,Ndarray
numpy,has_method,expand_dims,"(a, axis)",return_class,Ndarray
numpy,has_method,rollaxis,"(a, axis, start=0)",return_class,Ndarray
numpy,has_method,sort,"(a, axis=-1, kind=None, order=None)",return_class,Ndarray
numpy,has_method,argsort,"(a, axis=-1, kind=None, order=None)",return_class,Ndarray
numpy,has_method,squeeze,"(a, axis=None)",return_class,Ndarray
numpy,has_method,count_nonzero,"(a, axis=None, *, keepdims=False)",return_class,Int Or Array Of Int
numpy,has_method,cumprod,"(a, axis=None, dtype=None, out=None)",return_class,Ndarray
numpy,has_method,cumsum,"(a, axis=None, dtype=None, out=None)",return_class,Ndarray
numpy,has_method,nancumprod,"(a, axis=None, dtype=None, out=None)",return_class,Ndarray
numpy,has_method,nancumsum,"(a, axis=None, dtype=None, out=None)",return_class,Ndarray
numpy,has_method,std,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)",return_class,Ndarray
numpy,has_method,var,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)",return_class,Ndarray
numpy,has_method,nanstd,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)",return_class,Ndarray
